Baker,1,2,3,4,5,6,7,8,9,10,,,,,,,,season
Candice,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was the series winner.,,,,,,,,7
Andrew,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker.,Baker got through to the next round.,Baker was the Star Baker.,Baker was a series runner-up.,,,,,,,,7
Jane,Baker was the Star Baker.,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was a series runner-up.,,,,,,,,7
Selasi,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,out,out,out,out,out,7
Benjamina,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was eliminated.,out,out,out,out,out,out,out,out,,7
Tom,Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker.,Baker was eliminated.,out,out,out,out,out,out,out,out,out,,7
Rav,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,out,,,,7
Val,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,out,,,,,7
Kate,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was eliminated.,out,out,out,out,out,out,out,out,,,,,,7
Michael,Baker got through to the next round.,Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,out,,,,,,,7
Louise,Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,out,out,,,,,,,7
Lee,Baker was eliminated.,out,out,out,out,out,out,out,out,out,,,,,,,,7
